id,cas,tipo,nome,cas_nome,endereco,endereco_completo_geocodificacao,bairro,cep,email,responsavel,abrangencia,latitude_aproximada,longitude_aproximada,precisao_geocodificacao,fonte
4,2ª CAS,URS,URS RAUL SEIXAS (adolescente masculino de 12 a 17 anos),PRAÇA DA BANDEIRA,"Rua Teixeira Soares, nº 43","Rua Teixeira Soares, nº 43, Rio de Janeiro, RJ, Brasil",Praça da Bandeira,,,,,"-22,9145","-43,2128",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
5,2ª CAS,URS,URS BIA BEDRAN (crianças de 4 a 9 anos e grupo de irmãos),LARANJEIRAS,"Rua Pinheiro Machado, nº 39 - casa 1","Rua Pinheiro Machado, nº 39 - casa 1, Rio de Janeiro, RJ, Brasil",Laranjeiras,,,,,"-22,9338","-43,1848",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
6,2ª CAS,URS,URS CATETE (adolescente feminino),CATETE,"Rua do Catete, nº 195","Rua do Catete, nº 195, Rio de Janeiro, RJ, Brasil",Catete,,,,,"-22,9283","-43,1774",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
7,2ª CAS,URS,URS LUCINHA ARAUJO (crianças de 06 a 12 anos),TIJUCA,"Rua Cotingo, nº 76 (próximo Hosp.Ordem Terceira)","Rua Cotingo, nº 76 (próximo Hosp.Ordem Terceira), Rio de Janeiro, RJ, Brasil",Tijuca,,,,,"-22,9223","-43,2301",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
8,3ª CAS,URS,URS ZIRALDO (crianças de 04 a 12 anos misto),MÉIER,"Rua Isolina, nº 308","Rua Isolina, nº 308, Rio de Janeiro, RJ, Brasil",Méier,,,,,"-22,9010","-43,2833",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
9,3ª CAS,URS,URS FRIDA KAHLO (adolescentes gestantes e puérperas),ENGENHO NOVO,"Rua Senador Jaguaribe, nº 40 (em frente ao Lar Anália Franco)","Rua Senador Jaguaribe, nº 40 (em frente ao Lar Anália Franco), Rio de Janeiro, RJ, Brasil",Engenho Novo,,,,,"-22,9072","-43,2685",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
10,3ª CAS,URS,URS ANGELICA GOULART (adolescente masculino),CACHAMBI,"Rua Honório, 1.996","Rua Honório, 1.996, Rio de Janeiro, RJ, Brasil",Cachambi,,,,,"-22,8882","-43,2773",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
11,4ª CAS,URS,URS ILHA DO GOVERNADOR (adultos misto),ILHA DO GOVERNADOR,"Estrada dos Maracajás, nº 973","Estrada dos Maracajás, nº 973, Rio de Janeiro, RJ, Brasil",Galeão,,,,,"-22,8084","-43,2405",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
12,4ª CAS,URS,URS CASA VIVA – PENHA (adolescente feminino),OLARIA,"Rua Bariri, nº 258","Rua Bariri, nº 258, Rio de Janeiro, RJ, Brasil",Olaria,,,,,"-22,8460","-43,2671",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
13,7ª CAS,URS,URS SOCIAL CELY CAMPELLO (adolescente masculino),ANIL,"Rua Almirante Felinto Perry, nº 164","Rua Almirante Felinto Perry, nº 164, Rio de Janeiro, RJ, Brasil",Anil,,,,,"-22,9546","-43,3385",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
14,7ª CAS,URS,URS SOCIAL MARIA TEREZA VIEIRA (famílias),TAQUARA,"Estrada do Rio Grande, nº 2561","Estrada do Rio Grande, nº 2561, Rio de Janeiro, RJ, Brasil",Taquara,,,,,"-22,9267","-43,4000",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
15,7ª CAS,URS,URS MARIA VIEIRA BAZANI (idosos misto),RECREIO DOS BANDEIRANTES,"Av. Teotônio Vilela, s/n","Av. Teotônio Vilela, s/n, Rio de Janeiro, RJ, Brasil",Recreio dos Bandeirantes,,,,,"-23,0190","-43,4780",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
16,7ª CAS,URS,URS HAROLDO COSTA (idosos e adultos),TAQUARA,"Estrada do Engenho Velho, nº 1075 (próximo a Praça Valdir Vieira)","Estrada do Engenho Velho, nº 1075 (próximo a Praça Valdir Vieira), Rio de Janeiro, RJ, Brasil",Taquara,,,,,"-22,9157","-43,3890",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
17,8ª CAS,URS,URS CASA VIVA – BANGU (adolescente masculino),BANGU,"Av. Cônego de Vasconcelos, nº 856","Av. Cônego de Vasconcelos, nº 856, Rio de Janeiro, RJ, Brasil",Bangu,,,,,"-22,8826","-43,4665",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
18,8ª CAS,URS,URS DINA SFAT (idosos misto),BANGU,"Rua Três Marias, s/n (Catiri)","Rua Três Marias, s/n (Catiri), Rio de Janeiro, RJ, Brasil",Bangu,,,,,"-22,8682","-43,4790",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
19,8ª CAS,URS,URS PROFESSORA NILDA NEY (idosos misto),BANGU,"Rua Senador Joaquim Pires, nº 115 (próximo a Creche Gente Inocente)","Rua Senador Joaquim Pires, nº 115 (próximo a Creche Gente Inocente), Rio de Janeiro, RJ, Brasil",Bangu,,,,,"-22,8748","-43,4764",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
20,8ª CAS,URS,URS REALENGO (adultos masculino),REALENGO,"Rua Professor Carlos Wenceslau, nº 211 (próximo ao Corpo de Bombeiros)","Rua Professor Carlos Wenceslau, nº 211 (próximo ao Corpo de Bombeiros), Rio de Janeiro, RJ, Brasil",Realengo,,,,,"-22,8784","-43,4296",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
21,9ª CAS,URS,URS PAULO FREIRE (adolescentes masculinos),CAMPO GRANDE,"Rua Torricelli, nº 61","Rua Torricelli, nº 61, Rio de Janeiro, RJ, Brasil",Campo Grande,,,,,"-22,8978","-43,5644",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
22,10ª CAS,URS,URS RIO ACOLHEDOR PACIÊNCIA (adulto misto),SANTA CRUZ,"Av. Hermínio Aurélio Sampaio, nº 105","Av. Hermínio Aurélio Sampaio, nº 105, Rio de Janeiro, RJ, Brasil",Santa Cruz,,,,,"-22,9187","-43,6898",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
1,1ª CAS,CENTROPOP,CENTRO POP – CENTRO POP BÁRBARA CALAZANS,CENTRO,"Rua República do Líbano, nº 54","Rua República do Líbano, nº 54, Rio de Janeiro, RJ, Brasil",Centro,,,,,"-22,9087","-43,1806",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
2,2ª CAS,CENTROPOP,CENTRO DE CIDADANIA RINALDO DE LAMARE,SÃO CONRADO,"Av. Niemeyer, nº 776","Av. Niemeyer, nº 776, Rio de Janeiro, RJ, Brasil",São Conrado,,,,,"-22,9987","-43,2677",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
3,4ª CAS,CENTROPOP,CENTRO POP JOSÉ SARAMAGO,BONSUCESSO,"Rua da Regeneração, nº 654","Rua da Regeneração, nº 654, Rio de Janeiro, RJ, Brasil",Bonsucesso,,,,,"-22,8620","-43,2539",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
1,1ª CAS,CENTRAIS,CENTRAL DE RECEPÇÃO DE CRIANÇA E ADOLESCENTE ADEMAR FERREIRA DE OLIVEIRA (adolescente masculino),CENTRO,"Rua Benedito Hipólito, nº 163 (Praça Onze)","Rua Benedito Hipólito, 163, Praça Onze, Rio de Janeiro, RJ, Brasil",Centro,20211-130,,,,"-22,9068","-43,1729",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
2,2ª CAS,CENTRAIS,REPÚBLICA PARA JOVENS - JUNIOR HELENO BARROS DE ANTÃO (adulto masculino de 18 a 21 anos),BOTAFOGO,"Rua Sorocaba, nº 595","Rua Sorocaba, 595, Botafogo, Rio de Janeiro, RJ, Brasil",Botafogo,22271-110,,,,"-22,9515","-43,1868",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
3,3ª CAS,CENTRAIS,CENTRAL DE RECEPÇÃO DE CRIANÇAS E ADOLESCENTES TAIGUARA (masculino até 11 anos e feminino até 18 anos incompletos) ,MÉIER,"Rua Padre Ildefonso Penalba, nº 134","Rua Padre Ildefonso Penalba, 134, Méier, Rio de Janeiro, RJ, Brasil",Méier,20775-040,,,,"-22,8897","-43,2854",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
4,3ª CAS,CENTRAIS,CENTRO DE REFERÊNCIA DE INCLUSÃO SOCIOPRODUTIVA - CRIP ,CACHAMBI,"Av. Dom Helder Câmara, 5474 (Cobertura do Norte Shopping)","Av. Dom Helder Câmara, 5474, Norte Shopping, Cachambi, Rio de Janeiro, RJ, Brasil",Cachambi,20771-004,,,,"-22,8894","-43,2826",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
5,4ª CAS,CENTRAIS,CENTRAL DE RECEPÇÃO DE ADULTOS E FAMÍLIAS TOM JOBIM (adultos misto e famílias),ILHA DO GOVERNADOR," Estrada dos Maracajás, nº 973","Estrada dos Maracajás, 973, Galeão, Ilha do Governador, Rio de Janeiro, RJ, Brasil",Galeão,21941-570,,,,"-22,8107","-43,246",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
